Instance ID,classifier,pred_label,true_label
0,LogisticRegression,0,0
1,LogisticRegression,1,1
2,LogisticRegression,1,1
3,LogisticRegression,1,1
4,LogisticRegression,1,1
5,LogisticRegression,1,1
6,LogisticRegression,1,1
7,LogisticRegression,1,1
8,LogisticRegression,1,1
9,LogisticRegression,1,1
10,LogisticRegression,0,1
11,LogisticRegression,1,1
12,LogisticRegression,1,1
13,LogisticRegression,0,1
14,LogisticRegression,0,1
15,LogisticRegression,0,0
16,LogisticRegression,0,1
17,LogisticRegression,0,0
18,LogisticRegression,0,0
19,LogisticRegression,0,0
20,LogisticRegression,0,0
21,LogisticRegression,0,0
22,LogisticRegression,1,1
23,LogisticRegression,1,1
24,LogisticRegression,0,0
25,LogisticRegression,1,1
26,LogisticRegression,1,1
27,LogisticRegression,0,0
28,LogisticRegression,1,1
29,LogisticRegression,0,0
30,LogisticRegression,1,1
31,LogisticRegression,0,0
32,LogisticRegression,1,1
33,LogisticRegression,0,0
34,LogisticRegression,1,1
35,LogisticRegression,0,0
36,LogisticRegression,1,1
37,LogisticRegression,0,0
38,LogisticRegression,1,1
39,LogisticRegression,0,0
40,LogisticRegression,1,0
41,LogisticRegression,1,1
42,LogisticRegression,0,0
43,LogisticRegression,1,1
44,LogisticRegression,0,1
45,LogisticRegression,0,0
46,LogisticRegression,1,1
47,LogisticRegression,1,1
48,LogisticRegression,1,1
49,LogisticRegression,0,0
50,LogisticRegression,0,0
51,LogisticRegression,0,0
52,LogisticRegression,0,0
53,LogisticRegression,1,1
54,LogisticRegression,1,1
55,LogisticRegression,1,1
56,LogisticRegression,1,1
57,LogisticRegression,1,1
58,LogisticRegression,1,1
59,LogisticRegression,0,0
60,LogisticRegression,0,0
61,LogisticRegression,0,0
62,LogisticRegression,1,1
63,LogisticRegression,1,1
64,LogisticRegression,0,0
65,LogisticRegression,1,1
66,LogisticRegression,0,0
67,LogisticRegression,0,0
68,LogisticRegression,0,0
69,LogisticRegression,1,1
70,LogisticRegression,1,1
71,LogisticRegression,0,0
72,LogisticRegression,1,1
73,LogisticRegression,1,0
74,LogisticRegression,0,0
75,LogisticRegression,1,1
76,LogisticRegression,1,1
77,LogisticRegression,1,1
78,LogisticRegression,1,1
79,LogisticRegression,1,1
80,LogisticRegression,0,0
81,LogisticRegression,0,0
82,LogisticRegression,0,0
83,LogisticRegression,1,1
84,LogisticRegression,0,0
85,LogisticRegression,1,1
86,LogisticRegression,1,1
87,LogisticRegression,1,1
88,LogisticRegression,0,0
89,LogisticRegression,0,0
90,LogisticRegression,1,1
91,LogisticRegression,1,0
92,LogisticRegression,1,1
93,LogisticRegression,0,0
94,LogisticRegression,1,1
95,LogisticRegression,1,1
96,LogisticRegression,0,0
97,LogisticRegression,0,1
98,LogisticRegression,1,1
99,LogisticRegression,1,1
100,LogisticRegression,1,1
101,LogisticRegression,1,1
102,LogisticRegression,1,1
103,LogisticRegression,1,1
104,LogisticRegression,0,0
105,LogisticRegression,1,1
106,LogisticRegression,0,0
107,LogisticRegression,1,1
108,LogisticRegression,1,0
109,LogisticRegression,1,0
110,LogisticRegression,1,1
111,LogisticRegression,0,0
112,LogisticRegression,0,0
113,LogisticRegression,1,1
114,LogisticRegression,1,1
115,LogisticRegression,1,1
116,LogisticRegression,1,1
117,LogisticRegression,1,1
118,LogisticRegression,1,1
119,LogisticRegression,1,1
120,LogisticRegression,1,1
121,LogisticRegression,1,1
122,LogisticRegression,0,0
123,LogisticRegression,1,1
124,LogisticRegression,0,0
125,LogisticRegression,1,1
126,LogisticRegression,1,1
127,LogisticRegression,1,1
128,LogisticRegression,1,1
129,LogisticRegression,1,1
130,LogisticRegression,0,0
131,LogisticRegression,1,1
132,LogisticRegression,1,1
133,LogisticRegression,1,1
134,LogisticRegression,1,1
135,LogisticRegression,1,1
136,LogisticRegression,1,1
137,LogisticRegression,1,0
138,LogisticRegression,0,0
139,LogisticRegression,1,1
140,LogisticRegression,1,1
141,LogisticRegression,1,1
142,LogisticRegression,0,0
0,SVM,0,0
1,SVM,1,1
2,SVM,1,1
3,SVM,1,1
4,SVM,1,1
5,SVM,1,1
6,SVM,1,1
7,SVM,1,1
8,SVM,1,1
9,SVM,1,1
10,SVM,1,1
11,SVM,1,1
12,SVM,1,1
13,SVM,0,1
14,SVM,1,1
15,SVM,0,0
16,SVM,1,1
17,SVM,0,0
18,SVM,0,0
19,SVM,0,0
20,SVM,0,0
21,SVM,0,0
22,SVM,1,1
23,SVM,1,1
24,SVM,0,0
25,SVM,1,1
26,SVM,1,1
27,SVM,0,0
28,SVM,1,1
29,SVM,0,0
30,SVM,1,1
31,SVM,0,0
32,SVM,1,1
33,SVM,0,0
34,SVM,1,1
35,SVM,0,0
36,SVM,1,1
37,SVM,0,0
38,SVM,1,1
39,SVM,0,0
40,SVM,0,0
41,SVM,1,1
42,SVM,0,0
43,SVM,1,1
44,SVM,1,1
45,SVM,0,0
46,SVM,1,1
47,SVM,1,1
48,SVM,1,1
49,SVM,0,0
50,SVM,0,0
51,SVM,0,0
52,SVM,0,0
53,SVM,1,1
54,SVM,1,1
55,SVM,1,1
56,SVM,1,1
57,SVM,1,1
58,SVM,1,1
59,SVM,0,0
60,SVM,0,0
61,SVM,0,0
62,SVM,1,1
63,SVM,1,1
64,SVM,0,0
65,SVM,1,1
66,SVM,0,0
67,SVM,0,0
68,SVM,0,0
69,SVM,1,1
70,SVM,0,1
71,SVM,0,0
72,SVM,1,1
73,SVM,0,0
74,SVM,0,0
75,SVM,1,1
76,SVM,1,1
77,SVM,1,1
78,SVM,1,1
79,SVM,1,1
80,SVM,0,0
81,SVM,0,0
82,SVM,0,0
83,SVM,1,1
84,SVM,0,0
85,SVM,1,1
86,SVM,1,1
87,SVM,1,1
88,SVM,0,0
89,SVM,0,0
90,SVM,1,1
91,SVM,0,0
92,SVM,0,1
93,SVM,0,0
94,SVM,1,1
95,SVM,1,1
96,SVM,0,0
97,SVM,1,1
98,SVM,1,1
99,SVM,1,1
100,SVM,1,1
101,SVM,1,1
102,SVM,1,1
103,SVM,1,1
104,SVM,0,0
105,SVM,1,1
106,SVM,0,0
107,SVM,1,1
108,SVM,1,0
109,SVM,1,0
110,SVM,1,1
111,SVM,0,0
112,SVM,0,0
113,SVM,1,1
114,SVM,1,1
115,SVM,1,1
116,SVM,1,1
117,SVM,1,1
118,SVM,1,1
119,SVM,1,1
120,SVM,1,1
121,SVM,1,1
122,SVM,1,0
123,SVM,1,1
124,SVM,0,0
125,SVM,1,1
126,SVM,0,1
127,SVM,1,1
128,SVM,1,1
129,SVM,1,1
130,SVM,0,0
131,SVM,1,1
132,SVM,1,1
133,SVM,1,1
134,SVM,1,1
135,SVM,1,1
136,SVM,0,1
137,SVM,0,0
138,SVM,0,0
139,SVM,1,1
140,SVM,1,1
141,SVM,1,1
142,SVM,0,0
0,DecisionTree,0,0
1,DecisionTree,1,1
2,DecisionTree,1,1
3,DecisionTree,1,1
4,DecisionTree,1,1
5,DecisionTree,1,1
6,DecisionTree,1,1
7,DecisionTree,1,1
8,DecisionTree,1,1
9,DecisionTree,1,1
10,DecisionTree,0,1
11,DecisionTree,1,1
12,DecisionTree,1,1
13,DecisionTree,1,1
14,DecisionTree,0,1
15,DecisionTree,0,0
16,DecisionTree,1,1
17,DecisionTree,0,0
18,DecisionTree,0,0
19,DecisionTree,0,0
20,DecisionTree,0,0
21,DecisionTree,0,0
22,DecisionTree,1,1
23,DecisionTree,1,1
24,DecisionTree,0,0
25,DecisionTree,1,1
26,DecisionTree,1,1
27,DecisionTree,0,0
28,DecisionTree,1,1
29,DecisionTree,0,0
30,DecisionTree,1,1
31,DecisionTree,0,0
32,DecisionTree,1,1
33,DecisionTree,0,0
34,DecisionTree,1,1
35,DecisionTree,0,0
36,DecisionTree,1,1
37,DecisionTree,0,0
38,DecisionTree,1,1
39,DecisionTree,0,0
40,DecisionTree,1,0
41,DecisionTree,1,1
42,DecisionTree,0,0
43,DecisionTree,1,1
44,DecisionTree,0,1
45,DecisionTree,0,0
46,DecisionTree,1,1
47,DecisionTree,0,1
48,DecisionTree,1,1
49,DecisionTree,0,0
50,DecisionTree,0,0
